,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date Time
0,Tokyo,35.6761919,139.6503106,77.65,82,75,1.99,JP,1631444703
1,Jakarta,-6.2087634,106.845599,86.09,62,20,9.22,ID,1631444700
2,Delhi,28.7040592,77.10249019999999,85.3,94,75,5.75,IN,1631444769
3,Mumbai,19.0759837,72.8776559,84.18,84,75,6.91,IN,1631444722
4,Manila,14.5995124,120.9842195,80.11,84,100,7.23,PH,1631444846
5,Shanghai,31.230416,121.473701,79.93,90,75,11.18,CN,1631444962
6,Sao Paulo,-23.5557714,-46.6395571,67.44,84,40,1.01,BR,1631444711
7,Seoul,37.566535,126.9779692,74.71,53,0,2.86,KR,1631444931
8,Mexico City,19.4326077,-99.133208,57.13,77,90,8.05,MX,1631444987
9,Guangzhou,23.12911,113.264385,94.95,37,25,6.51,CN,1631444744
